Wavenumber;Absorbance
943.04;1.99
943.28;1.97
943.52;1.96
943.76;1.94
944.00;1.93
944.24;1.91
944.48;1.90
944.72;1.88
944.96;1.87
945.21;1.85
945.45;1.84
945.69;1.82
945.93;1.81
946.17;1.79
946.41;1.78
946.65;1.76
946.89;1.75
947.13;1.74
947.37;1.73
947.62;1.72
947.86;1.71
948.10;1.70
948.34;1.69
948.58;1.69
948.82;1.68
949.06;1.68
949.30;1.67
949.54;1.67
949.79;1.67
950.03;1.67
950.27;1.66
950.51;1.66
950.75;1.66
950.99;1.65
951.23;1.65
951.47;1.64
951.71;1.64
951.96;1.63
952.20;1.62
952.44;1.61
952.68;1.61
952.92;1.60
953.16;1.59
953.40;1.59
953.64;1.58
953.88;1.58
954.12;1.57
954.37;1.57
954.61;1.57
954.85;1.56
955.09;1.56
955.33;1.56
955.57;1.55
955.81;1.55
956.05;1.55
956.29;1.55
956.54;1.54
956.78;1.54
957.02;1.54
957.26;1.54
957.50;1.53
957.74;1.53
957.98;1.53
958.22;1.53
958.46;1.53
958.70;1.53
958.95;1.52
959.19;1.52
959.43;1.52
959.67;1.52
959.91;1.52
960.15;1.52
960.39;1.52
960.63;1.52
960.87;1.51
961.12;1.51
961.36;1.51
961.60;1.51
961.84;1.51
962.08;1.51
962.32;1.51
962.56;1.51
962.80;1.51
963.04;1.51
963.29;1.51
963.53;1.51
963.77;1.51
964.01;1.51
964.25;1.51
964.49;1.51
964.73;1.51
964.97;1.51
965.21;1.51
965.45;1.51
965.70;1.51
965.94;1.51
966.18;1.51
966.42;1.51
966.66;1.51
966.90;1.50
967.14;1.50
967.38;1.50
967.62;1.50
967.87;1.50
968.11;1.50
968.35;1.50
968.59;1.51
968.83;1.51
969.07;1.51
969.31;1.51
969.55;1.51
969.79;1.51
970.03;1.51
970.28;1.51
970.52;1.51
970.76;1.50
971.00;1.50
971.24;1.51
971.48;1.51
971.72;1.51
971.96;1.51
972.20;1.51
972.45;1.51
972.69;1.51
972.93;1.51
973.17;1.51
973.41;1.51
973.65;1.51
973.89;1.51
974.13;1.51
974.37;1.51
974.61;1.51
974.86;1.51
975.10;1.51
975.34;1.51
975.58;1.51
975.82;1.51
976.06;1.51
976.30;1.51
976.54;1.51
976.78;1.51
977.03;1.51
977.27;1.51
977.51;1.51
977.75;1.51
977.99;1.51
978.23;1.51
978.47;1.51
978.71;1.51
978.95;1.52
979.20;1.52
979.44;1.52
979.68;1.52
979.92;1.52
980.16;1.52
980.40;1.52
980.64;1.52
980.88;1.52
981.12;1.52
981.36;1.52
981.61;1.52
981.85;1.52
982.09;1.52
982.33;1.52
982.57;1.52
982.81;1.52
983.05;1.52
983.29;1.52
983.53;1.52
983.78;1.52
984.02;1.52
984.26;1.52
984.50;1.52
984.74;1.52
984.98;1.52
985.22;1.52
985.46;1.53
985.70;1.53
985.94;1.53
986.19;1.53
986.43;1.53
986.67;1.53
986.91;1.53
987.15;1.53
987.39;1.53
987.63;1.53
987.87;1.53
988.11;1.53
988.36;1.53
988.60;1.53
988.84;1.53
989.08;1.53
989.32;1.53
989.56;1.53
989.80;1.53
990.04;1.53
990.28;1.53
990.53;1.53
990.77;1.53
991.01;1.53
991.25;1.53
991.49;1.53
991.73;1.53
991.97;1.53
992.21;1.53
992.45;1.53
992.69;1.53
992.94;1.53
993.18;1.53
993.42;1.53
993.66;1.53
993.90;1.53
994.14;1.53
994.38;1.53
994.62;1.54
994.86;1.54
995.11;1.54
995.35;1.54
995.59;1.54
995.83;1.54
996.07;1.54
996.31;1.54
996.55;1.54
996.79;1.54
997.03;1.54
997.27;1.54
997.52;1.54
997.76;1.54
998.00;1.54
998.24;1.54
998.48;1.54
998.72;1.54
998.96;1.54
999.20;1.54
999.44;1.54
999.69;1.54
999.93;1.54
1000.17;1.54
1000.41;1.55
1000.65;1.55
1000.89;1.55
1001.13;1.55
1001.37;1.55
1001.61;1.55
1001.86;1.55
1002.10;1.55
1002.34;1.55
1002.58;1.55
1002.82;1.55
1003.06;1.55
1003.30;1.55
1003.54;1.55
1003.78;1.55
1004.02;1.55
1004.27;1.55
1004.51;1.56
1004.75;1.56
1004.99;1.56
1005.23;1.56
1005.47;1.56
1005.71;1.56
1005.95;1.56
1006.19;1.56
1006.44;1.56
1006.68;1.56
1006.92;1.56
1007.16;1.56
1007.40;1.57
1007.64;1.57
1007.88;1.57
1008.12;1.57
1008.36;1.57
1008.61;1.57
1008.85;1.57
1009.09;1.57
1009.33;1.57
1009.57;1.58
1009.81;1.58
1010.05;1.58
1010.29;1.58
1010.53;1.58
1010.77;1.59
1011.02;1.59
1011.26;1.59
1011.50;1.59
1011.74;1.59
1011.98;1.60
1012.22;1.60
1012.46;1.60
1012.70;1.60
1012.94;1.60
1013.19;1.60
1013.43;1.61
1013.67;1.61
1013.91;1.61
1014.15;1.62
1014.39;1.62
1014.63;1.62
1014.87;1.63
1015.11;1.63
1015.35;1.64
1015.60;1.64
1015.84;1.64
1016.08;1.65
1016.32;1.65
1016.56;1.65
1016.80;1.66
1017.04;1.66
1017.28;1.67
1017.52;1.67
1017.77;1.68
1018.01;1.68
1018.25;1.69
1018.49;1.69
1018.73;1.70
1018.97;1.71
1019.21;1.71
1019.45;1.72
1019.69;1.73
1019.94;1.73
1020.18;1.74
1020.42;1.74
1020.66;1.75
1020.90;1.76
1021.14;1.77
1021.38;1.77
1021.62;1.78
1021.86;1.79
1022.10;1.79
1022.35;1.80
1022.59;1.81
1022.83;1.81
1023.07;1.82
1023.31;1.83
1023.55;1.83
1023.79;1.84
1024.03;1.84
1024.27;1.85
1024.52;1.85
1024.76;1.85
1025.00;1.85
1025.24;1.85
1025.48;1.85
1025.72;1.85
1025.96;1.84
1026.20;1.84
1026.44;1.83
1026.68;1.83
1026.93;1.82
1027.17;1.81
1027.41;1.80
1027.65;1.80
1027.89;1.79
1028.13;1.78
1028.37;1.77
1028.61;1.76
1028.85;1.76
1029.10;1.75
1029.34;1.74
1029.58;1.73
1029.82;1.73
1030.06;1.72
1030.30;1.72
1030.54;1.71
1030.78;1.71
1031.02;1.71
1031.27;1.70
1031.51;1.70
1031.75;1.69
1031.99;1.69
1032.23;1.69
1032.47;1.68
1032.71;1.68
1032.95;1.68
1033.19;1.68
1033.43;1.67
1033.68;1.67
1033.92;1.67
1034.16;1.67
1034.40;1.67
1034.64;1.66
1034.88;1.66
1035.12;1.66
1035.36;1.66
1035.60;1.66
1035.85;1.65
1036.09;1.65
1036.33;1.65
1036.57;1.65
1036.81;1.65
1037.05;1.65
1037.29;1.64
1037.53;1.64
1037.77;1.64
1038.01;1.64
1038.26;1.64
1038.50;1.64
1038.74;1.64
1038.98;1.63
1039.22;1.63
1039.46;1.63
1039.70;1.63
1039.94;1.63
1040.18;1.62
1040.43;1.62
1040.67;1.62
1040.91;1.62
1041.15;1.62
1041.39;1.62
1041.63;1.62
1041.87;1.61
1042.11;1.61
1042.35;1.61
1042.59;1.61
1042.84;1.61
1043.08;1.61
1043.32;1.61
1043.56;1.60
1043.80;1.60
1044.04;1.60
1044.28;1.60
1044.52;1.60
1044.76;1.60
1045.01;1.60
1045.25;1.60
1045.49;1.60
1045.73;1.60
1045.97;1.60
1046.21;1.60
1046.45;1.59
1046.69;1.59
1046.93;1.59
1047.18;1.59
1047.42;1.59
1047.66;1.59
1047.90;1.59
1048.14;1.59
1048.38;1.59
1048.62;1.59
1048.86;1.59
1049.10;1.59
1049.34;1.59
1049.59;1.59
1049.83;1.59
1050.07;1.59
1050.31;1.59
1050.55;1.59
1050.79;1.59
1051.03;1.59
1051.27;1.59
1051.51;1.59
1051.76;1.59
1052.00;1.59
1052.24;1.59
1052.48;1.59
1052.72;1.59
1052.96;1.59
1053.20;1.59
1053.44;1.59
1053.68;1.59
1053.92;1.59
1054.17;1.59
1054.41;1.59
1054.65;1.59
1054.89;1.59
1055.13;1.59
1055.37;1.59
1055.61;1.59
1055.85;1.59
1056.09;1.59
1056.34;1.59
1056.58;1.59
1056.82;1.59
1057.06;1.59
1057.30;1.59
1057.54;1.59
1057.78;1.59
1058.02;1.59
1058.26;1.59
1058.51;1.59
1058.75;1.59
1058.99;1.59
1059.23;1.59
1059.47;1.59
1059.71;1.59
1059.95;1.59
1060.19;1.59
1060.43;1.59
1060.67;1.59
1060.92;1.59
1061.16;1.59
1061.40;1.59
1061.64;1.59
1061.88;1.59
1062.12;1.59
1062.36;1.59
1062.60;1.59
1062.84;1.59
1063.09;1.59
1063.33;1.59
1063.57;1.59
1063.81;1.59
1064.05;1.59
1064.29;1.59
1064.53;1.59
1064.77;1.60
1065.01;1.60
1065.25;1.60
1065.50;1.60
1065.74;1.60
1065.98;1.60
1066.22;1.60
1066.46;1.60
1066.70;1.60
1066.94;1.60
1067.18;1.60
1067.42;1.60
1067.67;1.60
1067.91;1.60
1068.15;1.60
1068.39;1.60
1068.63;1.60
1068.87;1.60
1069.11;1.60
1069.35;1.60
1069.59;1.60
1069.83;1.60
